Year,County,PSI,PSIDescription,Count,Population,ObsRate
2005,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,321 ," 26,447,738 ",1.21
2006,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,341 ," 26,679,904 ",1.28
2007,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,353 ," 26,935,982 ",1.31
2008,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,346 ," 27,272,108 ",1.27
2009,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,308 ," 27,630,962 ",1.11
2010,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,292 ," 28,000,783 ",1.04
2011,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,305 ," 28,396,854 ",1.07
2012,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,290 ," 27,818,703 ",1.04
2013,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,255 ," 28,195,720 ",0.90
2014,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,235 ," 28,842,368 ",0.81
2015,STATEWIDE,21,Retained Surgical Item or Unretrieved Device Fragment,153 ," 21,475,301 ",0.71
2005,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,18 ," 1,102,068 ",1.63
2006,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,12 ," 1,106,823 ",1.08
2007,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,8 ," 1,117,973 ",0.72
2008,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,19 ," 1,136,417 ",1.67
2009,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,6 ," 1,155,287 ",0.52
2010,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,11 ," 1,169,910 ",0.94
2011,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,17 ," 1,186,810 ",1.43
2012,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,12 ," 1,173,980 ",1.02
2013,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,10 ," 1,197,759 ",0.83
2014,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,11 ," 1,192,027 ",0.92
2015,Alameda,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 923,607 ",0.22
2005,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0 , 979 ,0.00
2006,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 1,001 ",0.00
2007,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 1,009 ",0.00
2008,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0 , 957 ,0.00
2009,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0 , 947 ,0.00
2010,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0 , 895 ,0.00
2011,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0 , 888 ,0.00
2012,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 2,975 ",0.00
2013,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 2,967 ",0.00
2014,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 2,018 ",0.00
2015,Alpine,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 3,000 ",0.00
2005,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 31,101 ",0.00
2006,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 31,460 ",0.00
2007,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 31,883 ",0.00
2008,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 31,619 ",3.16
2009,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 31,769 ",3.15
2010,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 31,720 ",3.15
2011,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 31,760 ",3.15
2012,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 32,614 ",3.07
2013,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 32,252 ",0.00
2014,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 33,224 ",3.01
2015,Amador,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 24,635 ",0.00
2005,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 165,310 ",2.42
2006,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 167,351 ",2.39
2007,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 168,208 ",2.38
2008,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 169,793 ",0.59
2009,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 170,726 ",2.34
2010,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 171,576 ",0.00
2011,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 172,643 ",1.16
2012,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 169,573 ",1.77
2013,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 170,817 ",1.76
2014,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 175,975 ",1.14
2015,Butte,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 128,928 ",2.33
2005,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 35,913 ",0.00
2006,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 36,599 ",0.00
2007,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 36,944 ",0.00
2008,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 37,092 ",5.39
2009,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 36,875 ",2.71
2010,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 36,801 ",0.00
2011,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 36,652 ",2.73
2012,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 37,597 ",0.00
2013,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 37,646 ",2.66
2014,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 38,886 ",2.57
2015,Calaveras,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 28,698 ",0.00
2005,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 14,456 ",0.00
2006,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 14,677 ",6.81
2007,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 14,837 ",0.00
2008,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 14,891 ",0.00
2009,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 14,960 ",0.00
2010,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 15,117 ",0.00
2011,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 15,206 ",0.00
2012,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 16,676 ",0.00
2013,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 16,775 ",0.00
2014,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 16,640 ",0.00
2015,Colusa,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 13,258 ",0.00
2005,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,9 ," 744,835 ",1.21
2006,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,15 ," 747,747 ",2.01
2007,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,14 ," 755,752 ",1.85
2008,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,14 ," 767,612 ",1.82
2009,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 780,970 ",0.51
2010,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,9 ," 793,960 ",1.13
2011,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,12 ," 808,054 ",1.49
2012,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,8 ," 793,369 ",1.01
2013,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,6 ," 808,882 ",0.74
2014,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,8 ," 818,959 ",0.98
2015,Contra Costa,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 620,275 ",0.16
2005,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 22,067 ",0.00
2006,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 22,055 ",4.53
2007,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 22,315 ",0.00
2008,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 22,398 ",0.00
2009,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 22,525 ",0.00
2010,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 22,507 ",0.00
2011,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 22,606 ",0.00
2012,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 23,687 ",0.00
2013,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 23,420 ",0.00
2014,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 23,656 ",0.00
2015,Del Norte,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 17,650 ",0.00
2005,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 132,739 ",0.75
2006,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 134,458 ",2.97
2007,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 135,852 ",0.00
2008,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 137,534 ",1.45
2009,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 139,337 ",1.44
2010,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 140,597 ",2.85
2011,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 141,461 ",0.00
2012,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,5 ," 139,213 ",3.59
2013,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 140,808 ",1.42
2014,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 146,643 ",0.00
2015,El Dorado,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 106,572 ",1.88
2005,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,6 ," 605,300 ",0.99
2006,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,8 ," 614,966 ",1.30
2007,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,6 ," 624,332 ",0.96
2008,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,5 ," 634,600 ",0.79
2009,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,11 ," 644,386 ",1.71
2010,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,10 ," 654,204 ",1.53
2011,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,10 ," 664,750 ",1.50
2012,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,5 ," 642,666 ",0.78
2013,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,9 ," 650,435 ",1.38
2014,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 679,486 ",0.59
2015,Fresno,21,Retained Surgical Item or Unretrieved Device Fragment,5 ," 491,442 ",1.02
2005,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 19,553 ",0.00
2006,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 19,729 ",0.00
2007,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 19,842 ",0.00
2008,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 20,067 ",4.98
2009,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 20,155 ",0.00
2010,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 20,313 ",4.92
2011,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 20,400 ",0.00
2012,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 21,643 ",0.00
2013,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 21,703 ",0.00
2014,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 21,574 ",0.00
2015,Glenn,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 16,846 ",0.00
2005,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,5 ," 102,809 ",4.86
2006,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 103,611 ",1.93
2007,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 103,821 ",3.85
2008,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 104,570 ",1.91
2009,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 105,478 ",3.79
2010,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 106,717 ",2.81
2011,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 107,013 ",3.74
2012,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 105,607 ",0.00
2013,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 105,726 ",0.95
2014,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 108,619 ",0.92
2015,Humboldt,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 79,121 ",1.26
2005,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 109,478 ",0.91
2006,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 112,879 ",1.77
2007,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 115,944 ",1.72
2008,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 118,550 ",0.84
2009,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 121,552 ",0.82
2010,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 124,055 ",0.00
2011,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 125,985 ",2.38
2012,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 122,385 ",0.00
2013,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 122,276 ",0.00
2014,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 130,127 ",2.31
2015,Imperial,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 92,754 ",2.16
2005,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 14,549 ",0.00
2006,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 14,456 ",0.00
2007,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 14,505 ",6.89
2008,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 14,485 ",0.00
2009,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 14,651 ",0.00
2010,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 14,670 ",0.00
2011,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 14,640 ",0.00
2012,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 16,277 ",0.00
2013,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 16,250 ",0.00
2014,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 15,730 ",0.00
2015,Inyo,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 12,814 ",0.00
2005,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,6 ," 526,395 ",1.14
2006,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,12 ," 544,084 ",2.21
2007,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,14 ," 557,795 ",2.51
2008,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,11 ," 568,635 ",1.93
2009,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,9 ," 578,043 ",1.56
2010,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,6 ," 587,730 ",1.02
2011,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,10 ," 597,565 ",1.67
2012,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,6 ," 576,340 ",1.04
2013,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,5 ," 583,929 ",0.86
2014,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,6 ," 622,019 ",0.96
2015,Kern,21,Retained Surgical Item or Unretrieved Device Fragment,6 ," 441,243 ",1.36
2005,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 104,744 ",0.95
2006,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 106,917 ",2.81
2007,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 108,972 ",0.92
2008,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 110,111 ",0.91
2009,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 109,913 ",2.73
2010,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 110,532 ",1.81
2011,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 111,322 ",1.80
2012,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 107,485 ",2.79
2013,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 107,035 ",0.93
2014,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 114,326 ",3.50
2015,Kings,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 78,983 ",0.00
2005,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 49,529 ",8.08
2006,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 49,985 ",8.00
2007,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 50,130 ",0.00
2008,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 50,505 ",3.96
2009,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 50,721 ",7.89
2010,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 51,151 ",1.95
2011,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 51,085 ",1.96
2012,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 51,501 ",1.94
2013,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 51,581 ",0.00
2014,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 52,953 ",5.67
2015,Lake,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 39,003 ",2.56
2005,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 27,722 ",0.00
2006,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 27,919 ",0.00
2007,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 29,030 ",0.00
2008,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 28,658 ",3.49
2009,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 28,696 ",0.00
2010,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 28,485 ",7.02
2011,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 28,179 ",3.55
2012,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 29,146 ",0.00
2013,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 27,797 ",3.60
2014,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 29,236 ",0.00
2015,Lassen,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 20,747 ",0.00
2005,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,69 ," 7,202,516 ",0.96
2006,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,70 ," 7,208,716 ",0.97
2007,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,77 ," 7,223,113 ",1.07
2008,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,71 ," 7,281,072 ",0.98
2009,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,65 ," 7,353,912 ",0.88
2010,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,73 ," 7,416,634 ",0.98
2011,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,66 ," 7,504,083 ",0.88
2012,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,68 ," 7,317,992 ",0.93
2013,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,64 ," 7,410,685 ",0.86
2014,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,56 ," 7,525,122 ",0.74
2015,Los Angeles,21,Retained Surgical Item or Unretrieved Device Fragment,40 ," 5,622,301 ",0.71
2005,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 100,047 ",1.00
2006,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 102,344 ",0.98
2007,Madera,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 104,227 ",0.00
